resultId;raceId;driverId;constructorId;grid;position
6647;310;90;22;9;5
6648;310;103;26;23;6
6649;310;81;18;14;7
6650;310;123;27;10;8
6651;310;57;32;24;9
6652;310;65;32;25;10
6653;310;131;25;8;11
6654;310;138;25;13;12
6655;310;87;34;12;0
6656;310;92;17;20;0
6657;310;88;26;19;0
6658;310;137;22;6;0
6659;310;55;6;4;0
6660;310;109;35;16;0
6661;310;105;29;26;0
6662;310;84;34;17;0
6663;310;122;41;22;0
6664;310;117;6;7;0
6665;310;127;41;18;0
6666;310;129;36;21;0
6667;310;77;1;5;0
6668;310;94;18;15;0
6669;310;100;27;0;0
6670;310;99;39;0;0
6671;310;140;29;0;0
6672;310;120;39;0;0
6673;310;78;40;0;0
6674;310;128;40;0;0
6675;310;142;42;0;0
6676;310;139;35;0;0
6677;311;95;3;4;1
6678;311;117;6;2;2
6679;311;102;1;3;3
6680;311;55;6;6;4
6681;311;119;3;1;5
6682;311;110;17;13;6
6683;311;127;41;9;7
6684;311;137;22;7;8
6685;311;94;18;12;9
6686;311;65;32;20;10
6687;311;100;27;14;11
6688;311;123;27;16;12
6689;311;90;22;8;0
6690;311;131;25;11;0
6691;311;129;36;21;0
6692;311;103;26;23;0
6693;311;109;35;26;0
6694;311;87;34;17;0
6695;311;88;26;22;0
6696;311;105;29;25;0
6697;311;84;34;24;0
6698;311;138;25;18;0
6699;311;81;18;10;0
6700;311;122;41;15;0
6701;311;77;1;5;0
6702;311;92;17;19;0
6703;311;57;32;0;0
6704;311;120;39;0;0
6705;311;99;39;0;0
6706;311;140;29;0;0
6707;311;139;35;0;0
6708;311;78;40;0;0
6709;311;128;40;0;0
6710;311;142;42;0;0
6711;312;95;3;1;1
6712;312;77;1;4;2
6713;312;117;6;5;3
6714;312;102;1;2;4
6715;312;137;22;8;5
6716;312;92;17;17;6
6717;312;131;25;10;7
6718;312;138;25;15;8
6719;312;94;18;23;9
6720;312;139;35;18;10
6721;312;81;18;20;11
6722;312;57;32;25;12
6723;312;109;35;11;13
6724;312;65;32;24;14
6725;312;87;34;12;0
6726;312;110;17;13;0
6727;312;55;6;6;0
6728;312;88;26;22;0
6729;312;123;27;19;0
6730;312;84;34;14;0
6731;312;105;29;26;0
6732;312;127;41;9;0
6733;312;90;22;7;0
6734;312;103;26;21;0
6735;312;122;41;16;0
6736;312;119;3;3;0
6737;312;100;27;0;0
6738;312;140;29;0;0
6739;312;120;39;0;0
6740;312;99;39;0;0
6741;312;129;36;0;0
6742;312;78;40;0;0
6743;312;128;40;0;0
6744;312;142;42;0;0
6745;313;95;3;1;1
6746;313;119;3;4;2
6747;313;55;6;6;3
6748;313;77;1;3;4
6749;313;110;17;7;5
6750;313;92;17;11;6
6751;313;102;1;2;7
6752;313;90;22;9;8
6753;313;123;27;17;9
6754;313;139;35;18;10
6755;313;84;34;15;11
6756;313;87;34;21;12
6757;313;131;25;14;13
6758;313;117;6;5;0
6759;313;122;41;12;0
6760;313;109;35;20;0
6761;313;137;22;8;0
6762;313;138;25;13;0
6763;313;100;27;26;0
6764;313;127;41;16;0
6765;313;57;32;23;0
6766;313;88;26;22;0
6767;313;81;18;19;0
6768;313;94;18;10;0
6769;313;103;26;25;0
6770;313;78;40;24;0
6771;313;105;29;0;0
6772;313;143;32;0;0
6773;313;99;39;0;0
6774;313;128;40;0;0
6775;313;129;36;0;0
6776;313;133;29;0;0
6777;313;120;39;0;0
6778;313;142;42;0;0
6779;314;102;1;1;1
6780;314;95;3;3;2
6781;314;119;3;2;3
6782;314;77;1;5;4
6783;314;55;6;6;5
6784;314;122;41;9;6
6785;314;110;17;17;7
6786;314;90;22;15;8
6787;314;92;17;16;9
6788;314;100;27;25;10
6789;314;127;41;13;11
6790;314;131;25;8;12
6791;314;81;18;23;13
6792;314;57;32;26;14
6793;314;138;25;14;15
6794;314;78;40;24;16
6795;314;123;27;19;17
6796;314;94;18;18;0
6797;314;87;34;20;0
6798;314;84;34;10;0
6799;314;109;35;12;0
6800;314;137;22;11;0
6801;314;103;26;21;0
6802;314;88;26;22;0
6803;314;139;35;7;0
6804;314;117;6;4;0
6805;314;129;36;0;0
6806;314;105;29;0;0
6807;314;128;40;0;0
6808;314;143;32;0;0
6809;314;99;39;0;0
6810;314;133;29;0;0
6811;314;120;39;0;0
6812;314;142;42;0;0
6813;315;102;1;1;1
6814;315;77;1;4;2
6815;315;137;22;6;3
6816;315;90;22;8;4
6817;315;119;3;17;5
6818;315;87;34;13;6
6819;315;65;32;21;7
6820;315;139;35;25;8
6821;315;84;34;16;9
6822;315;129;36;23;10
6823;315;123;27;18;11
6824;315;94;18;9;12
6825;315;110;17;11;13
6826;315;131;25;10;0
6827;315;109;35;14;0
6828;315;55;6;5;0
6829;315;81;18;19;0
6830;315;57;32;24;0
6831;315;100;27;26;0
6832;315;95;3;3;0
6833;315;103;26;20;0
6834;315;122;41;12;0
6835;315;138;25;22;0
6836;315;117;6;2;0
6837;315;127;41;15;0
6838;315;30;17;7;0
6839;315;88;26;0;0
6840;315;78;40;0;0
6841;315;133;29;0;0
6842;315;128;40;0;0
6843;315;105;29;0;0
6844;315;99;39;0;0
6845;315;142;42;0;0
6846;315;120;39;0;0
6847;316;95;3;2;1
6848;316;102;1;1;2
6849;316;117;6;5;3
6850;316;77;1;3;4
6851;316;30;22;7;5
6852;316;137;22;8;6
6853;316;110;17;14;7
6854;316;122;41;12;8
